sequenceID,min.log.lambda,max.log.lambda,labels,errors
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,10.2144876805001,11.2416516720874,7,2
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,11.7962125694175,11.8804100934504,7,1
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,-inf,1.86039775921942,7,7
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,5.46047749650242,7.15772259176715,7,7
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,7.15772259176715,9.16684064837609,7,7
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,9.16684064837609,10.2144876805001,7,3
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,11.2416516720874,11.7962125694175,7,1
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,1.86039775921942,5.46047749650242,7,7
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,11.9858738691468,12.2026483437913,7,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,13.720822198902,inf,7,6
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,13.14767476904,13.720822198902,7,2
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,13.0444851978132,13.14767476904,7,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,11.8804100934504,11.9858738691468,7,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,12.689243270423,12.963460416146,7,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,12.2026483437913,12.689243270423,7,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,12.963460416146,13.0444851978132,7,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,-inf,1.86344296484577,11,11
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,10.5380029650408,10.5716455793145,11,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,1.86344296484577,5.54734213063681,11,11
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,6.99226275653108,7.85230903158857,11,11
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,7.85230903158857,9.43639231872628,11,7
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,9.43639231872628,10.3310415129468,11,1
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,10.3310415129468,10.5158951803617,11,1
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,10.5158951803617,10.5201065736542,11,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,10.5201065736542,10.5252055325567,11,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,10.5252055325567,10.5380029650408,11,0
