sequenceID,min.log.lambda,max.log.lambda
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,11.8804100934503,13.1476747690402
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,10.5158951803492,12.4973607343554
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,11.6003489015508,13.7206338010759
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr12:7239876-34856694,9.2927959055643,12.1495672193177
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835,11.8693223018449,12.9951440935086
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472,10.5763984505438,12.6774204856703
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,11.7496987037703,13.8152095262595
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr12:7239876-34856694,9.59952426053675,12.114114018384
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:18024675-38818835,12.4462308747387,14.1648518038057
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472,10.9760432106953,13.1947117003811
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr11:96437584-134946516,12.8134332824868,15.0129995930302
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr12:7239876-34856694,10.0322831892204,12.7471861060223
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr10:18024675-38818835,12.1281866865868,13.745319296002
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr10:51448845-125869472,10.8913215154413,13.2090306212083
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr11:96437584-134946516,12.3193035416466,12.8982517555179
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr12:7239876-34856694,9.44279367910669,10.9909356691813
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr10:18024675-38818835,11.5111325102608,13.7159765263952
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr10:51448845-125869472,10.8271157861813,12.9899384367285
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr11:96437584-134946516,12.3325414711977,14.0704388212003
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr12:7239876-34856694,9.16684648052025,12.4978205767894
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr10:18024675-38818835,11.2179232813671,13.1655849717276
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr10:51448845-125869472,10.3005817601264,12.0442773636737
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr11:96437584-134946516,10.9627665472829,13.0164337308032
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr12:7239876-34856694,10.1446641136497,12.9324096137391
H3K36me3_TDH_immune/samples/tcell/McGill0024/problems/chr11:96437584-134946516,12.3424025426228,13.6697101860252
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr10:18024675-38818835,11.1362417417573,13.356649594435
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr10:51448845-125869472,10.4039660090742,12.2423740755872
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr11:96437584-134946516,10.68172541754,12.7969824985122
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr12:7239876-34856694,10.1437710930515,12.9573442286265
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr10:18024675-38818835,11.924437123293,13.790752205279
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr10:51448845-125869472,12.4902665377953,13.003091953357
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr11:96437584-134946516,11.0050440225116,12.612620194987
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr12:7239876-34856694,10.5336658980599,13.1432300902757
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr10:18024675-38818835,10.8215387964405,13.4850575053788
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr10:51448845-125869472,10.5491725115298,12.5199566783777
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr11:96437584-134946516,11.2368558703452,12.9514521854837
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr12:7239876-34856694,11.3987128867453,14.6189363540409
