sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,count,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr11:96437584-134946516,0,0,0,2,117,1.735472617,3.161058492,38508932,811205,0,0,0,1.098612289,4.770684624,1.006304224,1.425769487,17.4664008,13.60627731,0,0,0,0.693147181,4.762173935,0.551279778,1.150906937,17.46640077,13.60627608,0,0,0,-0.366512921,1.560704273,-0.595512834,0.140550273,2.86027908,2.610531162
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr1:103913906-120697156,0,0,1,2,143,1.918502793,3.503089447,16783250,387699,0,0,0.693147181,1.098612289,4.9698133,1.071070743,1.504763705,16.63589198,12.86798712,0,0,0,0.693147181,4.96284463,0.651545087,1.253645278,16.63589192,12.86798454,0,0,0,-0.366512921,1.601979091,-0.428408681,0.22605553,2.811562525,2.554742408
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr1:30028082-91800000,0,0,1,2,133,1.819025208,3.389618225,61771918,1357632,0,0,0.693147181,1.098612289,4.8978398,1.036391154,1.479242259,17.93895943,14.1212533,0,0,0,0.693147181,4.890349128,0.598300758,1.220717297,17.93895942,14.12125256,0,0,0,-0.366512921,1.587263697,-0.513661712,0.199438634,2.886974851,2.647680937
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr2:110251337-149690582,0,0,1,2,176,1.818970419,3.1433992,39439245,862270,0,0,0.693147181,1.098612289,5.176149733,1.036371719,1.421516514,17.49027197,13.66732489,0,0,0,0.693147181,5.170483995,0.598270637,1.145304762,17.49027194,13.66732373,0,0,0,-0.366512921,1.6429663,-0.513712057,0.13567077,2.861644837,2.615007854
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr3:60000-66170270,0,0,0,2,147,1.735451587,3.141397803,66110270,1401442,0,0,0,1.098612289,4.997212274,1.006296536,1.421033364,18.00683468,14.15301298,0,0,0,0.693147181,4.990432587,0.55126766,1.144667861,18.00683466,14.15301226,0,0,0,-0.366512921,1.607522597,-0.595534816,0.135114517,2.890751389,2.649927482
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr3:93504854-194041961,0,0,1,3,151,1.98146364,3.391931233,100537107,2367597,0,0,0.693147181,1.386294361,5.023880521,1.092414334,1.479769047,18.42603745,14.6773865,0,0,0,1.098612289,5.017279837,0.683835784,1.221399445,18.42603744,14.67738607,0,0,0,0.094047828,1.612887922,-0.380037472,0.199997287,2.913764743,2.686307947
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr4:1478646-8799203,0,0,0,1,182,0.906465587,2.500507772,7320557,86734,0,0,0,0.693147181,5.209486153,0.64525105,1.252908036,15.80619711,11.37061277,0,0,0,0,5.204006687,-0.098202212,0.91649382,15.80619698,11.37060124,0,0,0,0,1.649428846,0,-0.087199955,2.760402077,2.431031186
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr4:75452279-190000000,0,0,1,3,142,2.115404269,3.43072983,114547721,2842301,0,0,0.693147181,1.386294361,4.96284463,1.136358925,1.488564318,18.55650208,14.86012485,0,0,0,1.098612289,4.955827058,0.749245938,1.232773017,18.55650207,14.86012449,0,0,0,0.094047828,1.600564068,-0.288687994,0.209266117,2.920820244,2.698681417
H3K4me3_TDH_other/samples/kidney/McGill0023/problems/chr5:100000-17500000,0,0,0,2,81,1.542729885,2.783744812,17400000,327784,0,0,0,1.098612289,4.406719247,0.933238262,1.33071421,16.67198082,12.70011318,0,0,0,0.693147181,4.394449155,0.4335535,1.023797076,16.67198076,12.70011013,0,0,0,-0.366512921,1.480342189,-0.835740077,0.023518339,2.813729512,2.541610665
H3K4me3_TDH_other/samples/kidneyCancer/McGill0022/problems/chr11:96437584-134946516,0,0,1,2,698,2.591892447,14.12499986,38508932,1338627,0,0,0.693147181,1.098612289,6.549650742,1.278679208,2.716348994,17.4664008,14.10715577,0,0,0,0.693147181,6.548219103,0.952388283,2.647946267,17.46640077,14.10715502,0,0,0,-0.366512921,1.87919312,-0.048782467,0.973784346,2.86027908,2.646682117
